Ubigeo,Categoria,Departamento_Provincia_Distrito
010101,A,AMAZONAS CHACHAPOYAS CHACHAPOYAS
010102,F,AMAZONAS CHACHAPOYAS ASUNCION
010103,G,AMAZONAS CHACHAPOYAS BALSAS
010104,F,AMAZONAS CHACHAPOYAS CHETO
010105,G,AMAZONAS CHACHAPOYAS CHILIQUIN
010106,G,AMAZONAS CHACHAPOYAS CHUQUIBAMBA
010107,F,AMAZONAS CHACHAPOYAS GRANADA
010108,E,AMAZONAS CHACHAPOYAS HUANCAS
010109,F,AMAZONAS CHACHAPOYAS LA JALCA
010110,E,AMAZONAS CHACHAPOYAS LEIMEBAMBA
010111,F,AMAZONAS CHACHAPOYAS LEVANTO
010112,E,AMAZONAS CHACHAPOYAS MAGDALENA
010113,E,AMAZONAS CHACHAPOYAS MARISCAL CASTILLA
010114,G,AMAZONAS CHACHAPOYAS MOLINOPAMPA
010115,E,AMAZONAS CHACHAPOYAS MONTEVIDEO
010116,F,AMAZONAS CHACHAPOYAS OLLEROS
010117,G,AMAZONAS CHACHAPOYAS QUINJALCA
010118,E,AMAZONAS CHACHAPOYAS SAN FRANCISCO DE DAGUAS
010119,E,AMAZONAS CHACHAPOYAS SAN ISIDRO DE MAINO
010120,G,AMAZONAS CHACHAPOYAS SOLOCO
010121,F,AMAZONAS CHACHAPOYAS SONCHE
010201,A,AMAZONAS BAGUA BAGUA
010202,G,AMAZONAS BAGUA ARAMANGO
010203,F,AMAZONAS BAGUA COPALLIN
010204,F,AMAZONAS BAGUA EL PARCO
010205,G,AMAZONAS BAGUA IMAZA
010206,F,AMAZONAS BAGUA LA PECA
010301,B,AMAZONAS BONGARA BONGARA -JUMBILLA
010302,F,AMAZONAS BONGARA CHISQUILLA
010303,E,AMAZONAS BONGARA CHURUJA
010304,G,AMAZONAS BONGARA COROSHA
010305,F,AMAZONAS BONGARA CUISPES
010306,F,AMAZONAS BONGARA FLORIDA
010307,E,AMAZONAS BONGARA JAZAN
010308,G,AMAZONAS BONGARA RECTA
010309,E,AMAZONAS BONGARA SAN CARLOS
010310,F,AMAZONAS BONGARA SHIPASBAMBA
010311,G,AMAZONAS BONGARA VALERA
010312,C,AMAZONAS BONGARA YAMBRASBAMBA F N°
010401,B,AMAZONAS CONDORCANQUI CONDORCANQUI - NIEVA
010402,G,AMAZONAS CONDORCANQUI EL CENEPA
010403,G,AMAZONAS CONDORCANQUI RIO SANTIAGO
010501,B,AMAZONAS LUYA LUYA -LAMUD
010502,F,AMAZONAS LUYA CAMPORREDONDO
010503,G,AMAZONAS LUYA COCABAMBA
010504,F,AMAZONAS LUYA COLCAMAR
010505,F,AMAZONAS LUYA CONILA
010506,F,AMAZONAS LUYA INGUILPATA
010507,G,AMAZONAS LUYA LONGUITA
010508,F,AMAZONAS LUYA LONYA CHICO
010509,F,AMAZONAS LUYA LUYA
010510,E,AMAZONAS LUYA LUYA VIEJO
010511,F,AMAZONAS LUYA MARIA
010512,F,AMAZONAS LUYA OCALLI
010513,G,AMAZONAS LUYA OCUMAL
010514,G,AMAZONAS LUYA PISUQUIA
010515,G,AMAZONAS LUYA PROVIDENCIA
010516,E,AMAZONAS LUYA SAN CRISTOBAL
010517,F,AMAZONAS LUYA SAN FRANCISCO DEL YESO
010518,G,AMAZONAS LUYA SAN JERONIMO
010519,G,AMAZONAS LUYA SAN JUAN DE LOPECANCHA
010520,G,AMAZONAS LUYA SANTA CATALINA
010521,G,AMAZONAS LUYA SANTO TOMAS
010522,F,AMAZONAS LUYA TINGO
010523,F,AMAZONAS LUYA TRITA
010601,B,AMAZONAS RODRIGUEZ DE MENDOZA RODRIGUEZ DE MENDOZA -SAN NICOLAS
010602,G,AMAZONAS RODRIGUEZ DE MENDOZA CHIRIMOTO
010603,E,AMAZONAS RODRIGUEZ DE MENDOZA COCHAMAL
010604,G,AMAZONAS RODRIGUEZ DE MENDOZA HUAMBO
010605,G,AMAZONAS RODRIGUEZ DE MENDOZA LIMABAMBA
010606,F,AMAZONAS RODRIGUEZ DE MENDOZA LONGAR
010607,F,AMAZONAS RODRIGUEZ DE MENDOZA MARISCAL BENAVIDES
010608,F,AMAZONAS RODRIGUEZ DE MENDOZA MILPUC
010609,G,AMAZONAS RODRIGUEZ DE MENDOZA OMIA
010610,G,AMAZONAS RODRIGUEZ DE MENDOZA SANTA ROSA
010611,G,AMAZONAS RODRIGUEZ DE MENDOZA TOTORA
010612,G,AMAZONAS RODRIGUEZ DE MENDOZA VISTA ALEGRE
010701,A,AMAZONAS UTCUBAMBA UTCUBAMBA -BAGUA GRANDE
010702,G,AMAZONAS UTCUBAMBA CAJARURO
010703,F,AMAZONAS UTCUBAMBA CUMBA
010704,C,AMAZONAS UTCUBAMBA EL MILAGRO F N°
010705,G,AMAZONAS UTCUBAMBA JAMALCA
010706,F,AMAZONAS UTCUBAMBA LONYA GRANDE
010707,G,AMAZONAS UTCUBAMBA YAMON
020101,A,ANCASH HUARAZ HUARAZ
020102,G,ANCASH HUARAZ COCHABAMBA
020103,F,ANCASH HUARAZ COLCABAMBA
020104,G,ANCASH HUARAZ HUANCHAY
020105,D,ANCASH HUARAZ INDEPENDENCIA
020106,F,ANCASH HUARAZ JANGAS
020107,G,ANCASH HUARAZ LA LIBERTAD
020108,F,ANCASH HUARAZ OLLEROS
020109,G,ANCASH HUARAZ PAMPAS
020110,G,ANCASH HUARAZ PARIACOTO
020111,G,ANCASH HUARAZ PIRA
020112,G,ANCASH HUARAZ TARICA
020201,B,ANCASH AIJA AIJA
020202,G,ANCASH AIJA CORIS
020203,F,ANCASH AIJA HUACLLAN
020204,G,ANCASH AIJA LA MERCED
020205,F,ANCASH AIJA SUCCHA
020301,B,ANCASH ANTONIO RAIMONDI ANTONIO RAYMONDI - LLAMELLIN
020302,F,ANCASH ANTONIO RAIMONDI ACZO
020303,G,ANCASH ANTONIO RAIMONDI CHACCHO
020304,F,ANCASH ANTONIO RAIMONDI CHINGAS
020305,G,ANCASH ANTONIO RAIMONDI MIRGAS
020306,G,ANCASH ANTONIO RAIMONDI SAN JUAN DE RONTOY
020401,B,ANCASH ASUNCION ASUNCION -CHACAS
020402,G,ANCASH ASUNCION ACOCHACA
020501,B,ANCASH BOLOGNESI BOLOGNESI - CHIQUIAN
020502,E,ANCASH BOLOGNESI ABELARDO PARDO LEZAMETA
020503,G,ANCASH BOLOGNESI ANTONIO RAYMONDI
020504,F,ANCASH BOLOGNESI AQUIA
020505,F,ANCASH BOLOGNESI CAJACAY
020506,E,ANCASH BOLOGNESI CANIS
020507,E,ANCASH BOLOGNESI COLQUIOC
020508,E,ANCASH BOLOGNESI HUALLANCA
020509,E,ANCASH BOLOGNESI HUASTA
020510,G,ANCASH BOLOGNESI HUAYLLACAYAN
020511,E,ANCASH BOLOGNESI LA PRIMAVERA
020512,E,ANCASH BOLOGNESI MANGAS
020513,E,ANCASH BOLOGNESI PACLLON
020514,E,ANCASH BOLOGNESI SAN MIGUEL DE CORPANQUI
020515,C,ANCASH BOLOGNESI TICLLOS E N°
020601,B,ANCASH CARHUAZ CARHUAZ
020602,F,ANCASH CARHUAZ ACOPAMPA
020603,F,ANCASH CARHUAZ AMASHCA
020604,G,ANCASH CARHUAZ ANTA
020605,G,ANCASH CARHUAZ ATAQUERO
020606,F,ANCASH CARHUAZ MARCARA
020607,F,ANCASH CARHUAZ PARIAHUANCA
020608,G,ANCASH CARHUAZ SAN MIGUEL DE ACO
020609,G,ANCASH CARHUAZ SHILLA
020610,F,ANCASH CARHUAZ TINCO
020611,G,ANCASH CARHUAZ YUNGAR
020701,B,ANCASH CARLOS FERMIN FITZCARRALD CARLOS F. FITZCARRALD -SAN LUIS
020702,G,ANCASH CARLOS FERMIN FITZCARRALD SAN NICOLAS
020703,G,ANCASH CARLOS FERMIN FITZCARRALD YAUYA
020801,A,ANCASH CASMA CASMA
020802,F,ANCASH CASMA BUENA VISTA ALTA
020803,E,ANCASH CASMA COMANDANTE NOEL
020804,F,ANCASH CASMA YAUTAN
020901,B,ANCASH CORONGO CORONGO
020902,F,ANCASH CORONGO ACO
020903,E,ANCASH CORONGO BAMBAS
020904,F,ANCASH CORONGO CUSCA
020905,E,ANCASH CORONGO LA PAMPA
020906,F,ANCASH CORONGO YANAC
020907,E,ANCASH CORONGO YUPAN
021001,B,ANCASH HUARI HUARI
021002,G,ANCASH HUARI ANRA
021003,G,ANCASH HUARI CAJAY
021004,G,ANCASH HUARI CHAVIN DE HUANTAR
021005,F,ANCASH HUARI HUACACHI
021006,F,ANCASH HUARI HUACCHIS
021007,F,ANCASH HUARI HUACHIS
021008,F,ANCASH HUARI HUANTAR
021009,F,ANCASH HUARI MASIN
021010,E,ANCASH HUARI PAUCAS
021011,G,ANCASH HUARI PONTO
021012,E,ANCASH HUARI RAHUAPAMPA
021013,F,ANCASH HUARI RAPAYAN
021014,G,ANCASH HUARI SAN MARCOS
021015,F,ANCASH HUARI SAN PEDRO DE CHANA
021016,F,ANCASH HUARI UCO
021101,A,ANCASH HUARMEY HUARMEY
021102,C,ANCASH HUARMEY COCHAPETI G N°
021103,F,ANCASH HUARMEY CULEBRAS
021104,F,ANCASH HUARMEY HUAYAN
021105,F,ANCASH HUARMEY MALVAS
021201,B,ANCASH HUAYLAS HUAYLAS -CARAZ
021202,F,ANCASH HUAYLAS HUALLANCA
021203,G,ANCASH HUAYLAS HUATA
